"tube","strain","time","od600"
"n1","control",0,0.017
"n2","control",0,0
"n3","control",0,0
1,"TS559",0,0.025
2,"TS559",0,0.017
3,"TS559",0,0.139
4,"TK0008",0,0.01
5,"TK0008",0,0.082
6,"TK0008",0,0
7,"TK0224",0,0.053
8,"TK0224",0,0.003
9,"TK0224",0,0
10,"TK2304",0,0
11,"TK2304",0,0.006
12,"TK2304",0,0.049
13,"TK0704",0,0.001
14,"TK0704",0,0
15,"TK0704",0,0.023
16,"TK0729",0,0.015
17,"TK0729",0,0
18,"TK0729",0,0.001
19,"TK1273",0,0.022
20,"TK1273",0,0
21,"TK1273",0,0
22,"TK1917",0,0.029
23,"TK1917",0,0.026
24,"TK1917",0,0
25,"TK2122",0,0
26,"TK2122",0,0
27,"TK2122",0,0.028
28,"TK2241",0,0
29,"TK2241",0,0.018
30,"TK2241",0,0.019
"n1","control",1,0.003
"n2","control",1,0
"n3","control",1,0
1,"TS559",1,0.018
2,"TS559",1,0
3,"TS559",1,0.021
4,"TK0008",1,0
5,"TK0008",1,0.055
6,"TK0008",1,0
7,"TK0224",1,0.045
8,"TK0224",1,0.015
9,"TK0224",1,0.002
10,"TK2304",1,0.006
11,"TK2304",1,0.005
12,"TK2304",1,0.007
13,"TK0704",1,0.002
14,"TK0704",1,0.012
15,"TK0704",1,0.04
16,"TK0729",1,0.025
17,"TK0729",1,0.016
18,"TK0729",1,0.017
19,"TK1273",1,0.04
20,"TK1273",1,0.021
21,"TK1273",1,0.006
22,"TK1917",1,0.01
23,"TK1917",1,0.045
24,"TK1917",1,0.002
25,"TK2122",1,0.011
26,"TK2122",1,0.011
27,"TK2122",1,0.048
28,"TK2241",1,0
29,"TK2241",1,0.01
30,"TK2241",1,0.03
"n1","control",2,0.009
"n2","control",2,0
"n3","control",2,0
1,"TS559",2,0
2,"TS559",2,0.012
3,"TS559",2,0
4,"TK0008",2,0.03
5,"TK0008",2,0.001
6,"TK0008",2,0.044
7,"TK0224",2,0.064
8,"TK0224",2,0.009
9,"TK0224",2,0
10,"TK2304",2,0.003
11,"TK2304",2,0.005
12,"TK2304",2,0.011
13,"TK0704",2,0.002
14,"TK0704",2,0
15,"TK0704",2,0.036
16,"TK0729",2,0.032
17,"TK0729",2,0.008
18,"TK0729",2,0.026
19,"TK1273",2,0.019
20,"TK1273",2,0.009
21,"TK1273",2,0
22,"TK1917",2,0.009
23,"TK1917",2,0.028
24,"TK1917",2,0
25,"TK2122",2,0.007
26,"TK2122",2,0.004
27,"TK2122",2,0.014
28,"TK2241",2,0.002
29,"TK2241",2,0.005
30,"TK2241",2,0.034
"n1","control",3,0
"n2","control",3,0
"n3","control",3,0
1,"TS559",3,0.01
2,"TS559",3,0.001
3,"TS559",3,0.016
4,"TK0008",3,0.007
5,"TK0008",3,0.076
6,"TK0008",3,0.003
7,"TK0224",3,0.061
8,"TK0224",3,0.02
9,"TK0224",3,0.01
10,"TK2304",3,0.008
11,"TK2304",3,0.014
12,"TK2304",3,0.015
13,"TK0704",3,0.009
14,"TK0704",3,0.007
15,"TK0704",3,0.042
16,"TK0729",3,0.022
17,"TK0729",3,0.017
18,"TK0729",3,0.016
19,"TK1273",3,0.022
20,"TK1273",3,0.022
21,"TK1273",3,0.014
22,"TK1917",3,0.02
23,"TK1917",3,0.033
24,"TK1917",3,0.008
25,"TK2122",3,0.019
26,"TK2122",3,0.01
27,"TK2122",3,0.03
28,"TK2241",3,0.01
29,"TK2241",3,0.008
30,"TK2241",3,0.031
"n1","control",4,0.001
"n2","control",4,0
"n3","control",4,0
1,"TS559",4,0.02
2,"TS559",4,0.007
3,"TS559",4,0.027
4,"TK0008",4,0.019
5,"TK0008",4,0.052
6,"TK0008",4,0.017
7,"TK0224",4,0.076
8,"TK0224",4,0.03
9,"TK0224",4,0.022
10,"TK2304",4,0.023
11,"TK2304",4,0.025
12,"TK2304",4,0.031
13,"TK0704",4,0.031
14,"TK0704",4,0.034
15,"TK0704",4,0.061
16,"TK0729",4,0.03
17,"TK0729",4,0.029
18,"TK0729",4,0.038
19,"TK1273",4,0.038
20,"TK1273",4,0.039
21,"TK1273",4,0.028
22,"TK1917",4,0.039
23,"TK1917",4,0.04
24,"TK1917",4,0.022
25,"TK2122",4,0.044
26,"TK2122",4,0.029
27,"TK2122",4,0.063
28,"TK2241",4,0.039
29,"TK2241",4,0.03
30,"TK2241",4,0.044
"n1","control",5,0
"n2","control",5,0
"n3","control",5,0.005
1,"TS559",5,0.03
2,"TS559",5,0.024
3,"TS559",5,0.039
4,"TK0008",5,0.026
5,"TK0008",5,0.065
